,img_id,x0,y0,x1,y1,text,2020-10-18_2239,2020-10-18_2239_bin,2020-10-15_2308,2020-10-15_2308_bin,lr_test,lr_test_bin,2020-10-18_2239_dist,2020-10-18_2239_bin_dist,2020-10-15_2308_dist,2020-10-15_2308_bin_dist,lr_test_dist,lr_test_bin_dist
0,0,0.8828125,0.9083333333333332,0.9588541666666668,0.9638888888888888,PUK3647,Fy3547,Puy2547,Fy3547,PUK3547,,Aux3547,4,4,4,1,7,4
1,1,0.7697916666666667,0.4851851851851852,0.8359375,0.5324074074074074,NXZ9223,Hera,WF35,,,,,7,7,7,7,7,7
2,2,0.6380208333333334,0.41759259259259257,0.6901041666666667,0.4527777777777778,HFU0455,,,,,,,7,7,7,7,7,7
3,3,0.6088541666666667,0.3861111111111111,0.6531250000000001,0.4175925925925926,NXZ8855,ALWE,,,,or,,7,7,7,7,7,7
4,4,0.7729166666666667,0.8166666666666667,0.8197916666666667,0.8509259259259259,GCP1011,EERETY,,L170,L1epy,,111,7,7,6,6,7,4
5,5,0.6348958333333333,0.4027777777777778,0.6828125,0.4351851851851852,HEG6641,,,,,,,7,7,7,7,7,7
6,6,0.8322916666666667,0.8546296296296296,0.8927083333333333,0.899074074074074,HNQ9725,HAD9755,MBF775,HAD9705,,,HADG2,3,5,3,7,7,5
7,7,0.8682291666666667,0.9111111111111112,0.9411458333333332,0.9666666666666668,OPI4062,OP4053,OP4053,OP4053,OP4053,OF4052,0P14052,3,3,3,3,3,3
8,8,0.16979166666666667,0.7462962962962963,0.22083333333333333,0.7777777777777778,HIJ7018,,,,,,,7,7,7,7,7,7
9,9,0.3453125,0.7842592592592592,0.3932291666666667,0.8157407407407407,GSW2909,LORISEY,LAI,LaNEY,LalEY,,,7,7,7,7,7,7
10,10,0.32916666666666666,0.412962962962963,0.3807291666666667,0.44722222222222224,HLX6042,LWT,,,,,,6,7,7,7,7,7
11,11,0.15052083333333333,0.7925925925925926,0.20416666666666666,0.825925925925926,HLQ8827,Mims,,,Loca,,,7,7,7,6,7,7
12,12,0.5265625,0.4111111111111111,0.5765625000000001,0.4425925925925926,PUL2322,,,,,3rd,,7,7,7,7,6,7
13,13,0.7479166666666667,0.8009259259259259,0.7911458333333333,0.8351851851851851,HBM8084,,,,,,,7,7,7,7,7,7
14,14,0.50625,0.3657407407407408,0.5453125,0.39166666666666666,PUL2322,,,,SLO,,,7,7,7,6,7,7
15,15,0.63125,0.37777777777777777,0.6749999999999999,0.4074074074074074,PUI6104,,,Be,,,,7,7,7,7,7,7
16,16,0.2557291666666667,0.7509259259259259,0.3,0.7749999999999999,OPO2166,Sl5ke,rodgg,,,tNesl,,7,7,7,7,7,7
17,17,0.04791666666666667,0.8694444444444445,0.13333333333333333,0.9268518518518518,HBZ5426,,,,,,,7,7,7,7,7,7
18,18,0.7807291666666667,0.8111111111111111,0.8364583333333334,0.850925925925926,HKI1413,,14,ax1413,mjd,,nTIA,7,5,3,7,7,6
19,19,0.3385416666666667,0.3472222222222222,0.37552083333333336,0.3694444444444444,HJU1782,,,,,,,7,7,7,7,7,7
20,20,0.1171875,0.7712962962962963,0.1609375,0.8018518518518518,HNI1011,,,,,,TNE,7,7,7,7,7,6
21,21,0.19270833333333331,0.7555555555555555,0.2328125,0.7824074074074074,NXY0502,,,,,,,7,7,7,7,7,7
22,22,0.7901041666666667,0.487037037037037,0.8635416666666668,0.5361111111111111,HAO9821,,5,,,HADSRD,,7,7,7,7,5,7
23,23,0.7536458333333333,0.8305555555555556,0.8005208333333333,0.8685185185185186,HBL7102,,,,,,,7,7,7,7,7,7
24,24,0.746875,0.8240740740740741,0.8041666666666666,0.8657407407407407,HKF8570,,,,,,,7,7,7,7,7,7
25,25,0.7536458333333333,0.8240740740740741,0.8114583333333334,0.8657407407407407,OLX3155,Las1,hriy,ofSne,Tirne,,,5,7,7,7,7,7
26,26,0.21041666666666667,0.8194444444444444,0.2677083333333333,0.8555555555555555,OLT3897,,RE,CLT387,eur2287,,,7,7,2,6,7,7
27,27,0.17708333333333334,0.7861111111111111,0.228125,0.8203703703703703,GOL0323,,al,,,,,7,7,7,7,7,7
28,28,0.04791666666666667,0.8166666666666667,0.10416666666666667,0.8481481481481481,OLW2674,,,,,,,7,7,7,7,7,7
29,29,0.3223958333333333,0.3574074074074074,0.3619791666666666,0.3814814814814815,HIG8460,11h,TTI4CB,TH,T13,,,7,6,7,7,7,7
30,30,0.6125,0.3953703703703704,0.6598958333333333,0.425,KML7401,,,,,,,7,7,7,7,7,7
31,31,0.08229166666666668,0.8592592592592593,0.14947916666666666,0.9,JXE6737,XE,XERTIT,JXEB737,XEG7IT,,,5,5,1,4,7,7
32,32,0.2125,0.7074074074074074,0.2515625,0.7361111111111109,PUF0585,,rRIV,HL,ee,Iaa,2Bs,7,7,7,7,7,7
33,33,0.8505208333333333,0.8425925925925926,0.9057291666666666,0.8824074074074074,NXY3839,Oa,,,vryag,,,7,7,7,7,7,7
34,34,0.26510416666666664,0.3888888888888889,0.31197916666666664,0.4157407407407408,KLY8163,,,,,,sivex,7,7,7,7,7,7
35,35,0.8192708333333333,0.8777777777777778,0.8838541666666666,0.9222222222222222,OWM2434,OBX2434,Ox2874,ax2334,OlM2838,Ox2434,CRN2434,2,4,4,3,2,3
36,36,0.5171875,0.3240740740740741,0.5609375,0.3509259259259259,HJF7487,,,,,are,,7,7,7,7,7,7
37,37,0.7911458333333333,0.4740740740740741,0.8572916666666667,0.5166666666666667,HHW1986,,,,,,,7,7,7,7,7,7
38,38,0.8041666666666667,0.8333333333333334,0.8619791666666667,0.8740740740740741,HIO9665,,,,,,,7,7,7,7,7,7
39,39,0.8692708333333333,0.8870370370370371,0.9359375,0.9370370370370372,OLQ4774,op77a,odi7a,OE477d,,,,5,6,3,7,7,7
40,40,0.6244791666666667,0.4194444444444445,0.6734375,0.4481481481481482,HHT4881,,,,,,,7,7,7,7,7,7
41,41,0.7984375,0.850925925925926,0.859375,0.8925925925925926,OWM2434,Oh2420,Ohl240,KH2420,,OAK2424,a32424,4,4,5,7,3,4
42,42,0.25052083333333336,0.38333333333333336,0.2979166666666667,0.4120370370370371,HYB7332,,,,,ETI,ITI,7,7,7,7,7,7
43,43,0.7395833333333334,0.8,0.7864583333333334,0.8342592592592593,OWM2434,Ona240s,,,,,,4,7,7,7,7,7
44,44,0.7682291666666666,0.4787037037037037,0.8302083333333333,0.5194444444444444,GYI0453,,,,,,,7,7,7,7,7,7
45,45,0.915625,0.8435185185185186,0.9703125,0.8824074074074074,HHM8979,518i,417135,A111oa,tevfig,2440,qeCig,6,7,7,7,7,7
46,46,0.28541666666666665,0.4111111111111111,0.3395833333333333,0.4472222222222222,OWH1206,,,,,,,7,7,7,7,7,7
47,47,0.08541666666666667,0.812037037037037,0.146875,0.8509259259259259,GYE1926,6cTos,loreon,Ta1926,ort1226,TE,195,7,7,3,4,6,5
48,48,0.7609375,0.8333333333333334,0.8177083333333334,0.8731481481481482,OLX3155,TLX33,,,,,,4,7,7,7,7,7
49,49,0.8494791666666667,0.8759259259259259,0.9130208333333334,0.9203703703703704,HNQ9725,HRD8775,,HRD9775,EEL,,,4,7,3,7,7,7
50,50,0.7770833333333333,0.825,0.828125,0.8629629629629629,OWX1132,,,,,,,7,7,7,7,7,7
51,51,0.1046875,0.8564814814814815,0.16197916666666667,0.8916666666666667,HFC9865,,,,,,,7,7,7,7,7,7
52,52,0.06302083333333333,0.8444444444444444,0.12916666666666665,0.8870370370370371,OPJ4900,P4800,PJ4900,P4900,0PJ490D,NPJ4500,OPI4900,3,1,2,2,2,1
53,53,0.8270833333333333,0.4842592592592593,0.8979166666666666,0.5342592592592593,PUI6104,PUIEID,,PUIEin,,Pursia,purSiae,4,7,4,7,6,7
54,54,0.7588541666666667,0.8629629629629629,0.8119791666666667,0.8999999999999999,HDJ7617,,,Wo5Rs,,Te,,7,7,7,7,7,7
55,55,0.21458333333333326,0.7425925925925926,0.25416666666666665,0.7731481481481481,NXY0502,oT,,,,,,7,7,7,7,7,7
56,56,0.03958333333333333,0.8379629629629629,0.10989583333333333,0.8814814814814814,HJR7223,IFT,wv,mm,,BE,,7,7,7,7,7,7
57,57,0.16927083333333334,0.7583333333333333,0.2109375,0.787962962962963,NXY0502,,,,,,,7,7,7,7,7,7
58,58,0.6208333333333333,0.35462962962962963,0.6651041666666667,0.3861111111111111,HHJ8897,,,,CLANS,TUG,had,7,7,7,7,7,7
59,59,0.8536458333333333,0.8842592592592593,0.9286458333333332,0.9277777777777778,OXF8591,,,0585g,,,,7,7,5,7,7,7
60,60,0.5875,0.4240740740740741,0.6401041666666667,0.4564814814814814,HGP5420,,,,,,,7,7,7,7,7,7
61,61,0.7369791666666666,0.7870370370370371,0.7880208333333333,0.8240740740740742,GXF1603,7,,,,,,7,7,7,7,7,7
62,62,0.5203125,0.4342592592592592,0.5776041666666666,0.4722222222222222,HJI2997,,flAn,,,,,7,7,7,7,7,7
63,63,0.33697916666666666,0.3388888888888889,0.3723958333333333,0.3601851851851852,OWL2818,,,,,,,7,7,7,7,7,7
64,64,0.7625,0.8157407407407408,0.8156249999999999,0.8518518518518519,OQY6527,,,,13507,drar,,7,7,7,5,7,7
65,65,0.42916666666666653,0.3611111111111111,0.4697916666666666,0.3861111111111111,OWO6398,,,oars,Crm,,,7,7,7,7,7,7
66,66,0.609375,0.39814814814814814,0.6484375,0.4259259259259259,HLX6972,,,,,,,7,7,7,7,7,7
67,67,0.7942708333333334,0.8425925925925926,0.8515625,0.8842592592592592,HKR1725,,,,,,,7,7,7,7,7,7
68,68,0.8791666666666667,0.8953703703703704,0.953125,0.9527777777777776,HID5732,HipS732,0573p,105735,H5735,HiNsy3n,N53,3,4,4,3,5,5
69,69,0.8328125,0.8833333333333333,0.9046875,0.9351851851851852,HKX2300,,,,,,,7,7,7,7,7,7
70,70,0.0578125,0.8425925925925926,0.125,0.8851851851851852,PUL2322,,,,,L2022,,7,7,7,7,3,7
71,71,0.790625,0.8564814814814815,0.8453125,0.8935185185185186,HBL7102,,,,,,,7,7,7,7,7,7
72,72,0.6135416666666667,0.37222222222222223,0.6567708333333333,0.4,HJA0019,,,,,,,7,7,7,7,7,7
73,73,0.9109375,0.8555555555555555,0.9723958333333332,0.8981481481481481,OWZ5208,or,2,,CHI8op,,,7,6,7,7,7,7
74,74,0.17916666666666667,0.8361111111111111,0.2416666666666667,0.8842592592592593,OWR5292,,,,,,,7,7,7,7,7,7
75,75,0.659375,0.41759259259259257,0.7151041666666668,0.4518518518518518,HJA0019,,,,,,,7,7,7,7,7,7
76,76,0.10364583333333334,0.4148148148148148,0.18125,0.462962962962963,OQK2200,ODK2Zon,OUk2Zn,ODKZZaon,aoE22mm,00K2200,,4,5,6,5,2,7
77,77,0.32447916666666665,0.7870370370370371,0.37083333333333335,0.8203703703703704,OWR5292,,,,,,,7,7,7,7,7,7
78,78,0.09791666666666668,0.7925925925925926,0.153125,0.8296296296296297,OQL2317,axlAly,15120,cA21h,,,,7,6,5,7,7,7
79,79,0.0578125,0.8379629629629629,0.12395833333333335,0.8768518518518518,OMB5475,OME5475,,OME5475,GETS,OMG5475,0G202s,1,7,1,7,1,7
80,80,0.40729166666666666,0.7324074074074074,0.44375,0.7555555555555555,HIE4016,,,,,,,7,7,7,7,7,7
81,81,0.7291666666666666,0.4814814814814815,0.796875,0.5268518518518518,OLV6696,OVERSG,OVEng,,,,,5,5,7,7,7,7
82,82,0.5927083333333333,0.3685185185185185,0.6390625,0.4,GTD7914,Oa,,,,TT,,7,7,7,7,6,7
83,83,0.8354166666666667,0.901851851851852,0.9109375,0.9574074074074076,HLB7161,,,,,,,7,7,7,7,7,7
84,84,0.75,0.7944444444444444,0.7973958333333333,0.8287037037037036,HKI1413,Lm,wi1417,1412,wija,Lid,1407,7,4,4,7,7,5
85,85,0.04270833333333333,0.8444444444444444,0.11041666666666666,0.8824074074074074,HLQ8827,LD2ETT,ep2837,L027,L02537,LDE27,L02527,6,5,4,5,4,4
86,86,0.033854166666666664,0.8490740740740741,0.109375,0.8972222222222223,HCQ5943,HCO5943,WEG5943,HED5942,ACE5342,MCC5942,ACC694,1,3,3,4,3,4
87,87,0.5536458333333333,0.3472222222222222,0.5947916666666666,0.3759259259259259,HIO8727,,,,,,,7,7,7,7,7,7
88,88,0.19895833333333326,0.7055555555555556,0.24010416666666665,0.7333333333333334,PUF0585,,,,,,,7,7,7,7,7,7
